LOT_ID,WAFER_ID,WAFER_SCRIBE_ID,INSPECTION_DATE,REAL_WAFER_X,REAL_WAFER_Y
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-55388.418,75653.285
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-52193.492,118632.01699999999
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-52193.378,118625.54
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-52187.962999999996,118606.011
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-14924.903999999999,114088.92599999999
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-14923.663,114092.815
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-14918.168,114089.59300000001
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-14918.101999999999,114094.12199999999
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-14917.499,114091.716
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-5004.557,118506.81199999999
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-5004.083,118510.29
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-5000.822,118505.589
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4996.473,118522.86
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4995.714,118526.095
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4992.942,118526.071
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4992.657999999999,118528.748
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4991.378,118507.524
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4990.7570000000005,118506.36
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4990.686,118507.256
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4988.223,118526.806
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4971.749,118485.959
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4970.572,118481.597
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4956.884,118617.558
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4953.755999999999,118568.774
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4951.015,118579.462
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4950.028,118578.91900000001
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4949.62,118568.09
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4949.358,118561.681
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4949.292,118558.088
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4948.554,118556.42599999999
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4948.3640000000005,118578.915
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4947.596,118554.42199999999
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4946.434,118558.584
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4946.335999999999,118557.215
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4946.272,118553.69699999999
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4945.437,118550.617
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4944.348,118558.254
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4942.275,118586.03300000001
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4941.933,118590.502
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4939.8279999999995,118588.621
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4938.952,118583.97
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4918.255,118541.78300000001
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4918.089,118573.786
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4918.087,118557.087
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4917.98,118585.32400000001
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4917.947,118562.37599999999
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4917.815,118581.73
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4917.576,118583.558
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4917.307,118575.778
L9250480,566,DD2VM566JKE1,2019-10-01 09:17:43,-4917.111,118553.164
