LOT_ID,WAFER_ID,WAFER_SCRIBE_ID,INSPECTION_DATE,REAL_WAFER_X,REAL_WAFER_Y
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-98818.429,94312.411
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-93460.68800000001,-18627.019
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-82654.541,-64113.081
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-79798.488,-432.62199999999996
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-79798.257,-64113.102
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-68992.179,-64112.986
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-68992.024,35956.215
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-68991.978,45053.328
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-68991.902,54150.544
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-66136.159,54150.497
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-66136.136,-55015.89
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-66135.893,-64113.039000000004
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-59768.795999999995,94948.269
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-55329.600999999995,35956.076
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-55329.573,-18626.951
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-55329.532999999996,-64113.03
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-55329.501,-9529.793
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-55329.482,-55015.837
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-55329.352,45053.374
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-55329.352,-432.654
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-52473.657999999996,45053.434
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-52473.557,-432.724
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-52473.555,-64112.977999999996
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-52473.485,-55015.757000000005
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-52473.474,35956.136
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-52473.335999999996,54150.594000000005
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-52473.247,-9529.744
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-48129.376,1973.22
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-41667.281,-55015.802
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-41667.082,-64113.093
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-41666.992,-73210.235
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-41666.979,-18627.029
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-41666.967000000004,-432.70300000000003
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-41666.949,45053.207
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-38811.166,-432.538
L9261150,211,DD3SD211JKE1,2019-10-02 19:49:29,-38811.13,-73210.267
