LOT_ID,WAFER_ID,WAFER_SCRIBE_ID,INSPECTION_DATE,REAL_WAFER_X,REAL_WAFER_Y
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,-117702.69,-787.2669999999999
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,-112065.954,-30801.072
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,-95874.96,-73156.06
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,-83247.866,58131.885
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,-81428.805,-66291.724
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,-77266.392,-88194.60699999999
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,-67644.474,-23180.045
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,-63455.812999999995,124727.225
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,-63455.806,124858.337
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,-63374.237,122123.381
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,-62900.805,124285.095
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,-61409.315,-70848.51
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,-51571.407,-81166.719
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,-47176.25,-100970.515
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,-45925.143,-2331.312
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,-29986.374,102187.692
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,-29149.373,-103850.881
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,-25187.57,-113238.873
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,-19080.488,-121130.296
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,-14669.808,-103992.385
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,-14100.742,-27939.307999999997
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,-12199.298999999999,109862.757
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,-12154.317,-90764.26
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,-10657.278,-92421.06800000001
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,-9902.521,38685.234
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,-9896.844000000001,38685.479
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,-7944.736,55923.367999999995
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,-621.8380000000001,-10813.503999999999
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,1068.618,-124232.585
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,1071.017,-124228.76800000001
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,6581.057,-103911.16900000001
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,6675.5019999999995,-72408.128
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,7082.8640000000005,-114523.46699999999
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,10137.413,-91432.97300000001
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,16252.725,-101592.939
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,16704.175,-16251.867
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,17703.423,55227.4
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,23023.41,-6525.12
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,28026.75,-3223.2990000000004
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,35770.659,43667.275
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,38028.96,46953.093
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,53150.426,-68015.2
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,55070.806,-24391.824
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,71482.617,43436.727
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,81221.226,-84725.537
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,99400.147,-14138.617
L9243740,93,JATVK093MMA7,2019-09-26 14:40:49,127047.584,-24234.001
