LOT_ID,WAFER_ID,WAFER_SCRIBE_ID,INSPECTION_DATE,REAL_WAFER_X,REAL_WAFER_Y
L9211360,373,M7BRQ373WAC5,2019-09-04 17:10:34,-110675.677,-23092.236
L9211360,373,M7BRQ373WAC5,2019-09-04 17:10:34,-107921.911,-1388.9920000000002
L9211360,373,M7BRQ373WAC5,2019-09-04 17:10:34,-107620.026,-1459.5810000000001
L9211360,373,M7BRQ373WAC5,2019-09-04 17:10:34,-107619.906,-1671.106
L9211360,373,M7BRQ373WAC5,2019-09-04 17:10:34,-107619.791,-683.227
L9211360,373,M7BRQ373WAC5,2019-09-04 17:10:34,-107619.73300000001,-330.56199999999995
L9211360,373,M7BRQ373WAC5,2019-09-04 17:10:34,-107618.963,-612.148
L9211360,373,M7BRQ373WAC5,2019-09-04 17:10:34,-107072.045,-2938.48
L9211360,373,M7BRQ373WAC5,2019-09-04 17:10:34,-89717.17300000001,-64443.295999999995
L9211360,373,M7BRQ373WAC5,2019-09-04 17:10:34,-86267.44,-65309.488
L9211360,373,M7BRQ373WAC5,2019-09-04 17:10:34,-78142.44,-65719.129
L9211360,373,M7BRQ373WAC5,2019-09-04 17:10:34,-54688.670999999995,-5239.75
L9211360,373,M7BRQ373WAC5,2019-09-04 17:10:34,-31892.466,-19378.302
L9211360,373,M7BRQ373WAC5,2019-09-04 17:10:34,-29125.519,-114370.164
L9211360,373,M7BRQ373WAC5,2019-09-04 17:10:34,-12102.998,-22556.132
L9211360,373,M7BRQ373WAC5,2019-09-04 17:10:34,-517.234,-2093.411
L9211360,373,M7BRQ373WAC5,2019-09-04 17:10:34,-414.295,-2205.541
L9211360,373,M7BRQ373WAC5,2019-09-04 17:10:34,-408.961,-2225.8979999999997
L9211360,373,M7BRQ373WAC5,2019-09-04 17:10:34,4230.995,-3193.821
L9211360,373,M7BRQ373WAC5,2019-09-04 17:10:34,5446.078,-88173.478
L9211360,373,M7BRQ373WAC5,2019-09-04 17:10:34,17337.067,35550.929
L9211360,373,M7BRQ373WAC5,2019-09-04 17:10:34,30229.276,102307.82
L9211360,373,M7BRQ373WAC5,2019-09-04 17:10:34,33188.635,-9611.828000000001
L9211360,373,M7BRQ373WAC5,2019-09-04 17:10:34,46246.369000000006,-104127.645
L9211360,373,M7BRQ373WAC5,2019-09-04 17:10:34,53559.989,-4223.852
L9211360,373,M7BRQ373WAC5,2019-09-04 17:10:34,60402.806,103405.918
L9211360,373,M7BRQ373WAC5,2019-09-04 17:10:34,80985.558,-78117.061
L9211360,373,M7BRQ373WAC5,2019-09-04 17:10:34,81172.679,53965.635
L9211360,373,M7BRQ373WAC5,2019-09-04 17:10:34,114042.204,-30614.827
L9211360,373,M7BRQ373WAC5,2019-09-04 17:10:34,120812.22,-8313.53
L9211360,373,M7BRQ373WAC5,2019-09-04 17:10:34,122811.07800000001,-1459.85
L9211360,373,M7BRQ373WAC5,2019-09-04 17:10:34,124026.341,-18389.891
L9211360,373,M7BRQ373WAC5,2019-09-04 17:10:34,127258.031,-612.122
L9211360,373,M7BRQ373WAC5,2019-09-04 17:10:34,127258.365,-329.87199999999996
