LOT_ID,WAFER_ID,WAFER_SCRIBE_ID,INSPECTION_DATE,X,Y,c_id,class
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-126.089981,-16.631832,0,none
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-71.18486299999999,-53.329456,0,none
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-59.312605000000005,-116.499496,0,none
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-47.471848,-123.780754,0,none
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-42.959284,-70.792524,0,none
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-39.629908,-116.031988,1,focus_spot
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-39.621292,-115.877477,1,focus_spot
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-39.613724000000005,-115.781007,1,focus_spot
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-39.612712,-115.964459,1,focus_spot
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-39.60807,-115.837828,1,focus_spot
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-39.605699,-115.99437,1,focus_spot
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-39.604086,-115.758664,1,focus_spot
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-39.601178,-116.093348,1,focus_spot
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-39.601098,-115.843959,1,focus_spot
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-39.599189,-115.880372,1,focus_spot
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-39.59863,-115.846946,1,focus_spot
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-39.592579,-115.503079,1,focus_spot
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-39.588511,-115.757398,1,focus_spot
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-39.588032,-115.45282,1,focus_spot
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-39.586567,-115.878551,1,focus_spot
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-39.58101,-116.035312,1,focus_spot
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-39.577459000000005,-115.866964,1,focus_spot
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-39.577446,-115.920438,1,focus_spot
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-39.575327,-115.650112,1,focus_spot
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-39.572881,-115.924327,1,focus_spot
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-39.569793,-115.65222,1,focus_spot
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-39.540517,-115.631457,1,focus_spot
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-39.53847,-116.073845,1,focus_spot
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-39.537385,-115.776692,1,focus_spot
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-39.536476,-115.856364,1,focus_spot
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-39.536465,-116.050884,1,focus_spot
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-39.534524,-116.240879,1,focus_spot
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-39.528908,-116.042759,1,focus_spot
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-39.525881,-115.509449,1,focus_spot
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-39.525813,-115.761937,1,focus_spot
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-39.524873,-115.982658,1,focus_spot
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-39.524851000000005,-115.385349,1,focus_spot
L9254020,699,BHEHG699SJD0,2019-09-09 12:19:10,-39.52291,-115.602785,1,focus_spot
