LOT_ID,WAFER_ID,WAFER_SCRIBE_ID,INSPECTION_DATE,X,Y,c_id,none,scratch,focus_spot
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,-113.421662,-16.97109,0,0,0,0
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,-100.63900199999999,-74.719343,0,0,0,0
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,-58.294385000000005,-116.008179,0,0,0,0
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,-43.043518,-113.477167,1,1,0,0
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,-43.04257,-113.480956,1,1,0,0
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,-43.039983,-113.483625,1,1,0,0
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,-43.037986,-113.49189299999999,1,1,0,0
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,-43.037002,-113.489614,1,1,0,0
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,-43.034135,-113.482163,1,1,0,0
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,-43.033307,-113.510275,1,1,0,0
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,-43.027423000000006,-113.502172,1,1,0,0
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,-43.02552,-113.510299,1,1,0,0
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,-43.024245,-113.48738499999999,1,1,0,0
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,-43.015195,-113.484912,1,1,0,0
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,-43.013144,-113.487166,1,1,0,0
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,-23.410386,-16.341481,0,0,0,0
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,-0.5173730000000001,-1.831186,0,0,0,0
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,-0.517296,-5.35711,0,0,0,0
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,14.495316,-9.08423,0,0,0,0
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,18.132924,104.378236,0,0,0,0
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,20.713987,125.748136,0,0,0,0
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,23.086265,-11.452142,0,0,0,0
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,23.0872,-11.450088,0,0,0,0
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,23.0894,-11.452354,0,0,0,0
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,31.964859,-83.06978500000001,0,0,0,0
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,32.331450000000004,125.368928,0,0,0,0
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.033565,-121.086427,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.033818,-120.239716,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.033902999999995,-120.235098,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.174156,-119.737159,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.176121,-119.352922,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.17625,-121.13216899999999,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.177051,-119.49564699999999,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.18457,-121.410011,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.186080000000004,-121.361567,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.188906,-119.25243300000001,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.191552,-119.141728,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.192031,-119.31505800000001,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.193287,-121.493905,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.193796,-121.4205,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.19799400000001,-121.21949400000001,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.199607,-121.43368799999999,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.204724999999996,-119.243192,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.204926,-119.27299000000001,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.206504,-121.492739,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.206728000000005,-121.32963000000001,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.207449999999994,-121.25936999999999,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.207639,-119.18378299999999,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.208819000000005,-119.373843,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.209343000000004,-119.161014,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.210076,-119.41543300000001,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.213233,-119.334959,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.213632000000004,-119.183622,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.214098,-119.101709,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.215511,-119.34497,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.215678999999994,-121.359605,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.215852,-119.202506,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.21659,-121.268921,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.216932,-119.416982,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.231767,-119.519935,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.235697,-119.45738300000001,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.241988,-119.382941,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.255622,-119.60932700000001,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.255642,-119.494644,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.26728,-119.488188,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.267697999999996,-119.517609,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.270230000000005,-119.424371,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.271383,-119.56403599999999,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.272936,-119.50223299999999,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.274029,-119.534786,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.275809,-119.980544,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.277642,-119.475106,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.27922,-119.45587699999999,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.279627,-119.47170299999999,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.28372900000001,-119.540847,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.28601999999999,-119.474177,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.292456,-119.478967,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.297309999999996,-119.539185,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.30074,-119.56731500000001,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.307629999999996,-119.61098,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.310446000000006,-119.58197100000001,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.321061,-119.510993,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.322498,-119.522656,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.334106,-119.424516,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.351879000000004,-121.314633,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.352672,-119.98120399999999,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.355287,-120.04652499999999,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.356277999999996,-120.141252,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.37469,-119.545034,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.37609,-119.754236,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.376188,-121.292239,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.388771999999996,-119.382786,3,0,0,1
L9261740,327,DC0PG327JKE6,2019-10-05 19:46:10,43.390488,-119.423999,3,0,0,1
