LOT_ID,WAFER_ID,WAFER_SCRIBE_ID,INSPECTION_DATE,X,Y,c_id,class
L9220840,83,DC3DA083JKG7,2019-08-30 09:19:46,-96.614169,-19.091898,0,none
L9220840,83,DC3DA083JKG7,2019-08-30 09:19:46,-62.332204,-110.803522,0,none
L9220840,83,DC3DA083JKG7,2019-08-30 09:19:46,-56.70431200000001,-83.97691699999999,3,none
L9220840,83,DC3DA083JKG7,2019-08-30 09:19:46,-54.783708,121.4744,0,none
L9220840,83,DC3DA083JKG7,2019-08-30 09:19:46,-45.237368,95.868374,0,none
L9220840,83,DC3DA083JKG7,2019-08-30 09:19:46,-39.03675,-114.75893,3,none
L9220840,83,DC3DA083JKG7,2019-08-30 09:19:46,-36.763829,-4.079677,0,none
L9220840,83,DC3DA083JKG7,2019-08-30 09:19:46,-36.75545,-4.077313999999999,0,none
L9220840,83,DC3DA083JKG7,2019-08-30 09:19:46,-32.558152,-83.00661500000001,3,none
L9220840,83,DC3DA083JKG7,2019-08-30 09:19:46,-0.517266,-3.3500590000000003,1,focus_spot
L9220840,83,DC3DA083JKG7,2019-08-30 09:19:46,-0.5172599999999999,-4.082684,1,focus_spot
L9220840,83,DC3DA083JKG7,2019-08-30 09:19:46,-0.517213,-5.377151,1,focus_spot
L9220840,83,DC3DA083JKG7,2019-08-30 09:19:46,-0.419405,-3.3323920000000005,1,focus_spot
L9220840,83,DC3DA083JKG7,2019-08-30 09:19:46,-0.4134089999999999,-2.487133,1,focus_spot
L9220840,83,DC3DA083JKG7,2019-08-30 09:19:46,-0.41331,-4.180842,1,focus_spot
L9220840,83,DC3DA083JKG7,2019-08-30 09:19:46,-0.413244,-3.898581,1,focus_spot
L9220840,83,DC3DA083JKG7,2019-08-30 09:19:46,-0.409282,-3.355592,1,focus_spot
L9220840,83,DC3DA083JKG7,2019-08-30 09:19:46,4.230430999999999,-3.3989390000000004,1,focus_spot
L9220840,83,DC3DA083JKG7,2019-08-30 09:19:46,7.33632,-90.746172,3,none
L9220840,83,DC3DA083JKG7,2019-08-30 09:19:46,10.066341,-72.27888499999999,3,none
L9220840,83,DC3DA083JKG7,2019-08-30 09:19:46,25.566449,-107.273334,3,none
L9220840,83,DC3DA083JKG7,2019-08-30 09:19:46,28.850378,-8.725042,0,none
L9220840,83,DC3DA083JKG7,2019-08-30 09:19:46,60.516102,40.982702,0,none
