LOT_ID,WAFER_ID,WAFER_SCRIBE_ID,INSPECTION_DATE,X,Y,c_id,none,scratch,focus_spot
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,-96.806346,-61.17644799999999,1,1,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,-96.804863,-61.173053,1,1,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,-96.804239,-61.17558900000001,1,1,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,-96.803428,-61.173680999999995,1,1,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,-96.801913,-61.174848,1,1,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,-83.85733900000001,17.061737,0,0,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,-83.11995599999999,-58.32500900000001,0,0,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,-82.44462299999999,-41.560173999999996,0,0,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,-75.702068,27.275185,0,0,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,-57.400487,-50.086693,0,0,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,-36.451997999999996,100.051826,5,1,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,-35.608815,22.453892000000003,0,0,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,-31.738967,116.72567500000001,5,1,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,-28.371732000000005,20.106372999999998,0,0,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,-24.750574,75.983601,5,1,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,-18.045923,92.05615300000001,5,1,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,-9.746778,96.969785,5,1,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,-3.914715,-39.910246,2,1,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,-0.413211,2.2874380000000003,7,1,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,4.815537999999999,-42.219224000000004,2,1,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,5.197795,-41.086166,2,1,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,7.942309,-34.167983,2,1,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,9.284722,-48.033194,2,1,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,10.779654,-105.216207,0,0,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,16.771164000000002,21.654558,7,1,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,16.875756000000003,24.731831,7,1,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,17.450388,-116.44143,0,0,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,22.828202,80.256804,5,1,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,24.665072,27.310322,7,1,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,27.910994,3.552311,7,1,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,30.33502,99.94058199999999,5,1,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,47.975483,112.068527,5,1,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,48.09052,87.994,5,1,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,52.303211000000005,80.12995,5,1,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,57.025071000000004,-107.777321,0,0,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,58.491251,69.656902,5,1,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,60.708608999999996,10.192960999999999,0,0,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,67.98725,76.31849900000002,5,1,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,70.13183000000001,5.5697399999999995,0,0,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,86.99781300000001,-48.723336,0,0,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,92.813159,66.627516,0,0,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,93.48019500000001,73.33068899999999,0,0,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,96.75537200000001,80.053752,0,0,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,98.756806,-41.372235999999994,0,0,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,100.576579,66.867102,0,0,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,121.929193,-37.37697,0,0,0,0
L9256640,512,KD6ZL512WFC2,2019-10-04 02:30:41,123.63319800000001,-33.605513,0,0,0,0
