LOT_ID,WAFER_ID,WAFER_SCRIBE_ID,INSPECTION_DATE,X,Y,c_id,none,scratch,focus_spot
L9231800,390,M7D1Y390WAC4,2019-10-05 01:37:53,-119.00155199999999,0.826298,0,0,0,0
L9231800,390,M7D1Y390WAC4,2019-10-05 01:37:53,-88.566266,-61.167111,0,0,0,0
L9231800,390,M7D1Y390WAC4,2019-10-05 01:37:53,-70.848909,92.93833500000001,2,1,0,0
L9231800,390,M7D1Y390WAC4,2019-10-05 01:37:53,-62.98097,89.81323800000001,2,1,0,0
L9231800,390,M7D1Y390WAC4,2019-10-05 01:37:53,-47.052194,100.11341499999999,2,1,0,0
L9231800,390,M7D1Y390WAC4,2019-10-05 01:37:53,-40.172416,71.145844,2,1,0,0
L9231800,390,M7D1Y390WAC4,2019-10-05 01:37:53,-37.921035,117.210182,2,1,0,0
L9231800,390,M7D1Y390WAC4,2019-10-05 01:37:53,8.068864,-123.43738800000001,0,0,0,0
L9231800,390,M7D1Y390WAC4,2019-10-05 01:37:53,10.017370000000001,6.026071999999999,1,1,0,0
L9231800,390,M7D1Y390WAC4,2019-10-05 01:37:53,10.018814,6.023675,1,1,0,0
L9231800,390,M7D1Y390WAC4,2019-10-05 01:37:53,10.020565000000001,6.023675,1,1,0,0
L9231800,390,M7D1Y390WAC4,2019-10-05 01:37:53,10.022214,6.033358,1,1,0,0
L9231800,390,M7D1Y390WAC4,2019-10-05 01:37:53,10.023050999999999,6.026116999999999,1,1,0,0
L9231800,390,M7D1Y390WAC4,2019-10-05 01:37:53,10.026643,6.035608,1,1,0,0
L9231800,390,M7D1Y390WAC4,2019-10-05 01:37:53,10.02694,6.037187,1,1,0,0
L9231800,390,M7D1Y390WAC4,2019-10-05 01:37:53,10.031046,6.034505,1,1,0,0
L9231800,390,M7D1Y390WAC4,2019-10-05 01:37:53,25.063299,104.686023,0,0,0,0
L9231800,390,M7D1Y390WAC4,2019-10-05 01:37:53,32.206044,-43.514794,3,1,0,0
L9231800,390,M7D1Y390WAC4,2019-10-05 01:37:53,35.375244,-101.190854,3,1,0,0
L9231800,390,M7D1Y390WAC4,2019-10-05 01:37:53,35.377641000000004,-101.18993300000001,3,1,0,0
L9231800,390,M7D1Y390WAC4,2019-10-05 01:37:53,35.379518,-101.189795,3,1,0,0
L9231800,390,M7D1Y390WAC4,2019-10-05 01:37:53,59.577807,-38.629601,3,1,0,0
L9231800,390,M7D1Y390WAC4,2019-10-05 01:37:53,96.814795,11.609326999999999,0,0,0,0
L9231800,390,M7D1Y390WAC4,2019-10-05 01:37:53,102.85531200000001,-41.060858999999994,0,0,0,0
