LOT_ID,WAFER_ID,WAFER_SCRIBE_ID,INSPECTION_DATE,X,Y,c_id,class
L9246500,17,M7DMD017WAB2,2019-09-16 03:27:33,-123.383342,-6.78001,0,none
L9246500,17,M7DMD017WAB2,2019-09-16 03:27:33,-120.439037,-8.664605,0,none
L9246500,17,M7DMD017WAB2,2019-09-16 03:27:33,-119.994808,-30.129156,0,none
L9246500,17,M7DMD017WAB2,2019-09-16 03:27:33,-119.603286,62.178651,1,scratch
L9246500,17,M7DMD017WAB2,2019-09-16 03:27:33,-119.575896,62.301967,1,scratch
L9246500,17,M7DMD017WAB2,2019-09-16 03:27:33,-119.267486,62.301975,1,scratch
L9246500,17,M7DMD017WAB2,2019-09-16 03:27:33,-117.702992,62.397853000000005,1,scratch
L9246500,17,M7DMD017WAB2,2019-09-16 03:27:33,-114.23438,62.883921,1,scratch
L9246500,17,M7DMD017WAB2,2019-09-16 03:27:33,-111.051272,63.30465,1,scratch
L9246500,17,M7DMD017WAB2,2019-09-16 03:27:33,-107.619121,-0.6826469999999999,0,none
L9246500,17,M7DMD017WAB2,2019-09-16 03:27:33,-53.794195,47.20781,0,none
L9246500,17,M7DMD017WAB2,2019-09-16 03:27:33,-52.379192,-101.654895,0,none
L9246500,17,M7DMD017WAB2,2019-09-16 03:27:33,-20.698753,-25.482656,0,none
L9246500,17,M7DMD017WAB2,2019-09-16 03:27:33,-0.517285,-3.350179,0,none
L9246500,17,M7DMD017WAB2,2019-09-16 03:27:33,-0.517161,-3.209128,0,none
L9246500,17,M7DMD017WAB2,2019-09-16 03:27:33,9.523772,-107.49091,2,focus_spot
L9246500,17,M7DMD017WAB2,2019-09-16 03:27:33,9.525147,-107.030056,2,focus_spot
L9246500,17,M7DMD017WAB2,2019-09-16 03:27:33,9.526324,-107.534621,2,focus_spot
L9246500,17,M7DMD017WAB2,2019-09-16 03:27:33,9.527574,-107.054805,2,focus_spot
L9246500,17,M7DMD017WAB2,2019-09-16 03:27:33,9.532654,-107.319903,2,focus_spot
L9246500,17,M7DMD017WAB2,2019-09-16 03:27:33,9.569928,-106.947672,2,focus_spot
