LOT_ID,WAFER_ID,WAFER_SCRIBE_ID,INSPECTION_DATE,X,Y,c_id,none,scratch,focus_spot
L9261750,40,M7ELL040WAB5,2019-10-02 00:31:36,-113.476535,29.99838,0,0,0,0
L9261750,40,M7ELL040WAB5,2019-10-02 00:31:36,-83.74988099999999,-56.411546,0,0,0,0
L9261750,40,M7ELL040WAB5,2019-10-02 00:31:36,-26.258698,1.4569839999999998,0,0,0,0
L9261750,40,M7ELL040WAB5,2019-10-02 00:31:36,-24.008132,2.273698,0,0,0,0
L9261750,40,M7ELL040WAB5,2019-10-02 00:31:36,-18.808662,11.970917,0,0,0,0
L9261750,40,M7ELL040WAB5,2019-10-02 00:31:36,-13.824301,-114.841625,0,0,0,0
L9261750,40,M7ELL040WAB5,2019-10-02 00:31:36,-11.55198,-45.876199,0,0,0,0
L9261750,40,M7ELL040WAB5,2019-10-02 00:31:36,-0.517207,2.694355,1,1,0,0
L9261750,40,M7ELL040WAB5,2019-10-02 00:31:36,-0.5171669999999999,3.507408,1,1,0,0
L9261750,40,M7ELL040WAB5,2019-10-02 00:31:36,-0.517154,2.976895,1,1,0,0
L9261750,40,M7ELL040WAB5,2019-10-02 00:31:36,-0.517154,2.956561,1,1,0,0
L9261750,40,M7ELL040WAB5,2019-10-02 00:31:36,-0.517138,3.3665599999999998,1,1,0,0
L9261750,40,M7ELL040WAB5,2019-10-02 00:31:36,-0.413216,2.8518090000000003,1,1,0,0
L9261750,40,M7ELL040WAB5,2019-10-02 00:31:36,8.068865,-123.437455,0,0,0,0
L9261750,40,M7ELL040WAB5,2019-10-02 00:31:36,8.998009,66.548552,0,0,0,0
L9261750,40,M7ELL040WAB5,2019-10-02 00:31:36,11.008816000000001,114.42861,0,0,0,0
L9261750,40,M7ELL040WAB5,2019-10-02 00:31:36,21.154671999999998,21.932259,0,0,0,0
L9261750,40,M7ELL040WAB5,2019-10-02 00:31:36,30.559964,120.752768,0,0,0,0
L9261750,40,M7ELL040WAB5,2019-10-02 00:31:36,50.773689000000005,88.684062,3,1,0,0
L9261750,40,M7ELL040WAB5,2019-10-02 00:31:36,50.773783,88.68236999999999,3,1,0,0
L9261750,40,M7ELL040WAB5,2019-10-02 00:31:36,68.01080400000001,28.729473000000002,3,1,0,0
L9261750,40,M7ELL040WAB5,2019-10-02 00:31:36,72.126102,-38.594354,0,0,0,0
L9261750,40,M7ELL040WAB5,2019-10-02 00:31:36,78.748662,68.47252999999999,3,1,0,0
L9261750,40,M7ELL040WAB5,2019-10-02 00:31:36,82.191254,19.695616,0,0,0,0
L9261750,40,M7ELL040WAB5,2019-10-02 00:31:36,101.202026,27.674319999999998,3,1,0,0
L9261750,40,M7ELL040WAB5,2019-10-02 00:31:36,127.257149,30.642138,0,0,0,0
