LOT_ID,WAFER_ID,WAFER_SCRIBE_ID,INSPECTION_DATE,X,Y,c_id,class
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-142.15535699999998,-17.510644,0,none
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-139.25379999999998,-13.860038,0,none
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-138.730142,27.066108,0,none
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-131.481803,-13.883095,0,none
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-129.53931,68.48197,1,focus_spot
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-129.539269,68.56262400000001,1,focus_spot
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-129.537373,68.628156,1,focus_spot
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-129.537158,68.562742,1,focus_spot
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-128.940592,68.562672,1,focus_spot
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-128.93269800000002,68.62819999999999,1,focus_spot
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-128.930833,68.56276799999999,1,focus_spot
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-110.65514,78.008916,0,none
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-102.259711,-93.763214,0,none
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-101.292528,103.701194,2,focus_spot
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-100.804947,100.751285,2,focus_spot
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-98.03898,102.686462,2,focus_spot
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-92.105313,-13.912491,0,none
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-90.257379,104.330534,2,focus_spot
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-88.032254,111.093292,2,focus_spot
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-88.00312,100.959409,2,focus_spot
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-86.395112,101.710717,2,focus_spot
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-84.66298300000001,104.078708,2,focus_spot
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-60.949157,13.374133,9,none
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-60.947957,13.373295,9,none
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-52.556716,18.67997,9,none
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-46.899637000000006,-124.001929,7,scratch
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-45.855582000000005,-124.554935,7,scratch
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-44.584825,-20.809402,9,none
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-43.295516000000006,-87.664802,0,none
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-38.759012000000006,-125.293459,7,scratch
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-38.551923,66.02227400000001,0,none
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-29.331095,-130.087726,7,scratch
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-29.008882,-134.517144,7,scratch
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-28.088071,-26.806004,0,none
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-17.398994,-136.357025,7,scratch
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-14.425714,18.679908,9,none
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-12.012939,101.007931,0,none
L9245930,279,QAFIY279KOA4,2019-09-24 23:17:13,-4.11643,-139.071894,0,none
