LOT_ID,WAFER_ID,WAFER_SCRIBE_ID,INSPECTION_DATE,REAL_WAFER_X,REAL_WAFER_Y
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,-124882.252,-4076.045
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,-120834.836,32116.247000000003
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,-113972.11,-8774.1
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,-111429.656,-1240.64
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,-107922.177,-259.997
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,-69000.97099999999,-90540.469
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,-67239.39,-3651.882
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,-59053.52,-101070.134
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,-58438.847,-88422.181
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,-54931.419,-112357.729
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,-41881.308,-90590.496
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,-16487.534,124587.237
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,-6967.56,-83823.272
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,3088.7909999999997,105832.632
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,13337.253999999999,-78038.018
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,14030.362,-117739.06599999999
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,14193.518999999998,-117078.911
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,22914.83,-109437.242
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,25056.839,54984.288
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,60415.115999999995,44087.001
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,65993.789,-16448.081000000002
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,72627.56599999999,-86515.69099999999
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,73091.14,-24586.187
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,110845.204,-14914.701000000001
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,116523.105,-25257.683999999997
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,116793.74900000001,-25508.039
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,117312.791,-25169.535
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,117641.263,-1240.611
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,124520.524,-552.564
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,124689.758,-1240.627
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,125178.41900000001,33070.782999999996
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,125178.645,-787.235
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,125556.619,-1240.625
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,127257.442,-683.137
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,127258.086,-1529.394
L9232450,705,DD6ET705JKE0,2019-09-21 08:07:05,127258.424,-1670.546
