LOT_ID,WAFER_ID,WAFER_SCRIBE_ID,INSPECTION_DATE,REAL_WAFER_X,REAL_WAFER_Y
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,-142299.342,-30146.535
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,-129516.67300000001,25550.569
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,-128827.415,68562.74900000001
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,-128825.602,68562.628
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,-118757.462,-39846.364
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,-103607.823,69755.069
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,-97174.586,-74120.48599999999
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,-82737.695,18679.968999999997
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,-74905.207,98930.06800000001
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,-66218.964,-35903.212
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,-66218.811,18679.99
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,-61854.655,14802.338
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,-55412.643,100554.716
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,-52557.549000000006,-72292.052
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,-52556.312000000005,-17708.981
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,-41941.474,-82844.424
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,-41749.991,-35903.196
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,-38894.871,-72292.031
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,-38893.97,-35903.177
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,-30654.537,30131.264
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,-25232.552000000003,27777.172000000002
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,-16810.897,19298.471
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,-13779.393999999998,-39757.711
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,-10205.216,-30601.377
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,-9228.396999999999,-19224.998
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,-9147.795,-125162.28199999999
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,-802.845,5795.653
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,-762.937,-17708.853
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,-304.937,5846.302
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,123.4,6044.9490000000005
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,1091.233,5586.213000000001
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,2033.241,106166.85699999999
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,4032.446,-68288.675
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,4243.07,133386.314
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,7673.641,-125703.09800000001
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,12899.523000000001,18680.045
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,15755.1,64165.968
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,15834.708,-31112.161
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,15867.753999999999,-122045.43800000001
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,16835.158,-130724.516
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,20225.548,13347.305
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,21361.471,22865.237
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,26561.924,136943.499
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,26561.995,64165.888
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,28626.099,-93803.61
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,29417.342,-26805.988999999998
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,29417.743,-17708.78
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,34488.492999999995,-91987.7
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,38862.332,-138299.74
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,40224.524,73263.254
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,40289.115,-75842.947
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,47215.780999999995,-125860.76199999999
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,60285.852999999996,97680.541
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,62473.481,97882.96800000001
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,63703.27,100868.0
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,65101.802,105884.494
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,68080.87700000001,104662.266
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,69166.793,104897.724
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,69260.605,104815.272
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,70172.567,-91254.633
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,70405.466,-17708.854
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,72030.454,-39495.33
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,72968.814,102696.65
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,73526.753,100447.492
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,75970.398,103297.64300000001
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,78556.259,101235.755
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,94430.944,65294.54
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,94873.351,-35903.119
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,95613.291,-93897.873
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,97188.354,70228.02799999999
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,99979.24699999999,71646.26299999999
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,107808.604,76464.366
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,122167.78300000001,14712.373
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,126871.19699999999,13126.101999999999
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,127148.209,24075.475
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,127604.46800000001,8836.181999999999
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,127714.041,19255.116
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,127925.07699999999,14681.523000000001
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,129322.975,14445.714
L9273130,83,M7ELB083WAG4,2019-10-05 08:43:23,135029.26,9418.065
